feature,importance,std
country,0.08684675957947736,0.0014963487560666875
deposit_type,0.07329505102099501,0.0025526302780204155
agent,0.06469216374691751,0.0024501913857588277
total_of_special_requests,0.04192282530299629,0.001695838330554023
required_car_parking_spaces,0.03599377003340072,0.0015301894778330203
lead_time,0.028318208030282444,0.0010508768817334157
market_segment,0.02741227362565333,0.001696407912948513
customer_type,0.014511590005109598,0.0006695037715274825
previous_bookings_not_canceled,0.01018675770654438,0.00025454214614538785
adr,0.0044817512252103954,0.000870402639970172
previous_cancellations,0.0028057259176140327,0.0003972298444693643
total_nights,0.0015094262746213395,0.0005886704565734648
meal,0.0011978096541483073,0.0005323448365911397
arrival_date_week_number,0.000989375212553334,0.0003345033745351104
is_repeated_guest,0.0008974766335179795,0.00012038745592336224
reserved_room_type,0.0007452696119908175,0.00014300127829830697
total_guests,0.00059162996101354,8.03723600665601e-05
adults,0.0004244329038184391,0.00019845996570575688
children,0.00036080575549035654,0.00010688856844075411
stays_in_weekend_nights,0.0001938058491369521,0.00021089332367046887
arrival_date_month,5.9145252628844955e-08,0.00019160044979124038
babies,-3.661748300798351e-05,5.1214231871935716e-05
stays_in_week_nights,-0.0002765960592831629,0.0003769506441418851
distribution_channel,-0.00042711415526601736,0.00034645074623152454
hotel,-0.0006805384189487284,0.00019694164396972123
