month,metric,model,yhat,lo80,hi80,lo95,hi95
2017-09-01,bookings,holt_winters,6318.34,4801.33,7930.05,3999.66,8773.87
2017-10-01,bookings,holt_winters,7246.75,5579.26,8772.7,4694.95,9637.91
2017-11-01,bookings,holt_winters,5175.46,3544.39,6827.0,2728.01,7709.9
2017-12-01,bookings,holt_winters,4480.3,2910.13,6047.96,2116.86,6789.0
2018-01-01,bookings,holt_winters,4270.55,2727.6,5904.63,1825.01,6745.75
2018-02-01,bookings,holt_winters,4837.01,3294.64,6457.54,2375.42,7222.7
2018-03-01,bookings,holt_winters,5731.73,4157.21,7327.35,3307.5,8176.49
2018-04-01,bookings,holt_winters,6536.73,4973.19,8117.87,4233.34,8911.84
2018-05-01,bookings,holt_winters,7277.98,5749.16,8818.91,4986.36,9659.23
2018-06-01,bookings,holt_winters,6498.16,4864.06,8021.78,4037.65,8875.57
2018-07-01,bookings,holt_winters,6108.89,4495.46,7691.82,3651.98,8647.48
2018-08-01,bookings,holt_winters,6819.37,4015.88,7243.79,3182.06,8072.52
2018-09-01,bookings,holt_winters,7245.67,4873.19,9672.46,3847.34,10963.01
2018-10-01,bookings,holt_winters,8297.49,5859.56,10660.09,4643.43,12056.79
2018-11-01,bookings,holt_winters,5916.92,3508.19,8403.91,2318.57,9635.62
2018-12-01,bookings,holt_winters,5114.59,2663.15,7510.05,1412.55,8637.91
2017-09-01,bookings,seasonal_naive,6777.98,5761.28,7794.68,5083.49,8472.48
2017-10-01,bookings,seasonal_naive,7790.09,6621.57,8958.6,5842.57,9737.61
2017-11-01,bookings,seasonal_naive,5574.77,4738.55,6410.98,4181.07,6968.46
2017-12-01,bookings,seasonal_naive,4835.49,4110.16,5560.81,3626.62,6044.36
2018-01-01,bookings,seasonal_naive,4617.98,3925.28,5310.68,3463.48,5772.47
2018-02-01,bookings,seasonal_naive,5240.33,4454.28,6026.38,3930.25,6550.41
2018-03-01,bookings,seasonal_naive,6221.01,5287.86,7154.16,4665.75,7776.26
2018-04-01,bookings,seasonal_naive,7107.39,6041.28,8173.49,5330.54,8884.23
2018-05-01,bookings,seasonal_naive,7927.13,6738.06,9116.2,5945.35,9908.91
2018-06-01,bookings,seasonal_naive,7089.78,6026.32,8153.25,5317.34,8862.23
2018-07-01,bookings,seasonal_naive,6676.14,5674.72,7677.56,5007.11,8345.18
2018-08-01,bookings,seasonal_naive,6189.57,5261.14,7118.01,4642.18,7736.97
2018-09-01,bookings,seasonal_naive,8521.8,7243.53,9800.07,6391.35,10652.25
2018-10-01,bookings,seasonal_naive,9794.3,8325.15,11263.44,7345.72,12242.87
2018-11-01,bookings,seasonal_naive,7009.02,5957.67,8060.38,5256.77,8761.28
2018-12-01,bookings,seasonal_naive,6079.55,5167.61,6991.48,4559.66,7599.43
2017-09-01,stays,holt_winters,3853.03,2875.1,4892.0,2358.32,5435.96
2017-10-01,stays,holt_winters,4204.74,3129.81,5188.42,2559.75,5746.17
2017-11-01,stays,holt_winters,3192.87,2141.42,4257.52,1615.15,4826.67
2017-12-01,stays,holt_winters,2790.93,1778.74,3801.51,1267.36,4279.21
2018-01-01,stays,holt_winters,2756.34,1761.69,3809.73,1179.85,4351.95
2018-02-01,stays,holt_winters,3190.91,2196.64,4235.57,1604.07,4728.82
2018-03-01,stays,holt_winters,3716.25,2701.26,4744.85,2153.5,5292.24
2018-04-01,stays,holt_winters,3618.53,2610.61,4637.8,2133.67,5149.62
2018-05-01,stays,holt_winters,4007.53,3021.99,5000.88,2530.26,5542.58
2018-06-01,stays,holt_winters,3616.15,2562.75,4598.34,2030.02,5148.73
2018-07-01,stays,holt_winters,3752.75,2712.68,4773.17,2168.94,5389.23
2018-08-01,stays,holt_winters,4169.36,2447.38,4528.21,1909.86,5062.45
2018-09-01,stays,holt_winters,4337.05,2824.84,5888.47,2164.73,6720.0
2018-10-01,stays,holt_winters,4727.47,3177.17,6236.94,2404.46,7114.74
2018-11-01,stays,holt_winters,3585.74,2050.98,5180.19,1281.32,5950.45
2018-12-01,stays,holt_winters,3130.85,1559.84,4663.14,764.33,5387.4
2017-09-01,stays,seasonal_naive,4087.31,3474.21,4700.4,3065.48,5109.13
2017-10-01,stays,seasonal_naive,4467.04,3796.99,5137.1,3350.28,5583.8
2017-11-01,stays,seasonal_naive,3396.99,2887.44,3906.54,2547.74,4246.24
2017-12-01,stays,seasonal_naive,2973.58,2527.54,3419.62,2230.19,3716.98
2018-01-01,stays,seasonal_naive,2940.82,2499.7,3381.95,2205.62,3676.03
2018-02-01,stays,seasonal_naive,3409.12,2897.75,3920.49,2556.84,4261.4
2018-03-01,stays,seasonal_naive,3975.69,3379.34,4572.05,2981.77,4969.62
2018-04-01,stays,seasonal_naive,3876.21,3294.78,4457.64,2907.16,4845.26
2018-05-01,stays,seasonal_naive,4298.41,3653.65,4943.17,3223.8,5373.01
2018-06-01,stays,seasonal_naive,3883.49,3300.97,4466.01,2912.62,4854.36
2018-07-01,stays,seasonal_naive,4035.14,3429.87,4640.41,3026.35,5043.92
2018-08-01,stays,seasonal_naive,3771.87,3206.09,4337.65,2828.9,4714.84
2018-09-01,stays,seasonal_naive,4958.77,4214.95,5702.58,3719.08,6198.46
2018-10-01,stays,seasonal_naive,5419.47,4606.55,6232.39,4064.6,6774.33
2018-11-01,stays,seasonal_naive,4121.27,3503.08,4739.46,3090.95,5151.58
2018-12-01,stays,seasonal_naive,3607.58,3066.44,4148.72,2705.69,4509.48
2017-09-01,room_nights,holt_winters,13917.73,10538.67,17507.76,8752.99,19387.33
2017-10-01,room_nights,holt_winters,13779.84,10065.58,17178.83,8095.82,19106.04
2017-11-01,room_nights,holt_winters,10321.1,6687.97,13999.84,4869.52,15966.45
2017-12-01,room_nights,holt_winters,8871.31,5373.85,12363.22,3606.87,14013.85
2018-01-01,room_nights,holt_winters,8192.61,4755.75,11832.44,2745.27,13705.99
2018-02-01,room_nights,holt_winters,10135.08,6699.51,13744.73,4652.0,15449.09
