month,metric,value
2015-07-01,bookings,2774.0
2015-08-01,bookings,3883.0
2015-09-01,bookings,5109.0
2015-10-01,bookings,4951.0
2015-11-01,bookings,2337.0
2015-12-01,bookings,2913.0
2016-01-01,bookings,2248.0
2016-02-01,bookings,3884.0
2016-03-01,bookings,4818.0
2016-04-01,bookings,5425.0
2016-05-01,bookings,5475.0
2016-06-01,bookings,5290.0
2016-07-01,bookings,4560.0
2016-08-01,bookings,5055.0
2016-09-01,bookings,5391.0
2016-10-01,bookings,6196.0
2016-11-01,bookings,4434.0
2016-12-01,bookings,3846.0
2017-01-01,bookings,3673.0
2017-02-01,bookings,4168.0
2017-03-01,bookings,4948.0
2017-04-01,bookings,5653.0
2017-05-01,bookings,6305.0
2017-06-01,bookings,5639.0
2017-07-01,bookings,5310.0
2017-08-01,bookings,4923.0
2015-07-01,stays,1515.0
2015-08-01,stays,2285.0
2015-09-01,stays,3016.0
2015-10-01,stays,3219.0
2015-11-01,stays,1851.0
2015-12-01,stays,1940.0
2016-01-01,stays,1691.0
2016-02-01,stays,2549.0
2016-03-01,stays,3342.0
2016-04-01,stays,3365.0
2016-05-01,stays,3560.0
2016-06-01,stays,3194.0
2016-07-01,stays,3066.0
2016-08-01,stays,3230.0
2016-09-01,stays,3369.0
2016-10-01,stays,3682.0
2016-11-01,stays,2800.0
2016-12-01,stays,2451.0
2017-01-01,stays,2424.0
2017-02-01,stays,2810.0
2017-03-01,stays,3277.0
2017-04-01,stays,3195.0
2017-05-01,stays,3543.0
2017-06-01,stays,3201.0
2017-07-01,stays,3326.0
2017-08-01,stays,3109.0
2015-07-01,room_nights,6464.0
2015-08-01,room_nights,9108.0
2015-09-01,room_nights,11031.0
2015-10-01,room_nights,10025.0
2015-11-01,room_nights,5872.0
2015-12-01,room_nights,5698.0
2016-01-01,room_nights,4235.0
2016-02-01,room_nights,7033.0
2016-03-01,room_nights,10218.0
2016-04-01,room_nights,10520.0
2016-05-01,room_nights,11632.0
2016-06-01,room_nights,11397.0
2016-07-01,room_nights,11940.0
2016-08-01,room_nights,12418.0
2016-09-01,room_nights,11839.0
2016-10-01,room_nights,11747.0
2016-11-01,room_nights,8817.0
2016-12-01,room_nights,7594.0
2017-01-01,room_nights,7027.0
2017-02-01,room_nights,8710.0
2017-03-01,room_nights,11438.0
2017-04-01,room_nights,11244.0
2017-05-01,room_nights,11959.0
2017-06-01,room_nights,11723.0
2017-07-01,room_nights,12458.0
2017-08-01,room_nights,12135.0
2015-07-01,revenue_eur,758339.7899999999
2015-08-01,revenue_eur,1137652.71
2015-09-01,revenue_eur,1054620.67
2015-10-01,revenue_eur,784714.88
2015-11-01,revenue_eur,346691.49
2015-12-01,revenue_eur,429521.57
2016-01-01,revenue_eur,264521.38
2016-02-01,revenue_eur,483833.1
2016-03-01,revenue_eur,767310.38
2016-04-01,revenue_eur,895772.6200000001
2016-05-01,revenue_eur,1072667.19
2016-06-01,revenue_eur,1144800.38
2016-07-01,revenue_eur,1524476.3399999999
2016-08-01,revenue_eur,1807654.15
2016-09-01,revenue_eur,1288947.3499999999
2016-10-01,revenue_eur,1072101.8399999999
2016-11-01,revenue_eur,687101.5
2016-12-01,revenue_eur,657519.05
2017-01-01,revenue_eur,511767.8
2017-02-01,revenue_eur,662833.61
2017-03-01,revenue_eur,884475.77
2017-04-01,revenue_eur,1203266.1
2017-05-01,revenue_eur,1321736.01
2017-06-01,revenue_eur,1437738.1400000001
2017-07-01,revenue_eur,1816730.6099999999
2017-08-01,revenue_eur,1970181.5999999999
